[Thu May  7 11:56:47 AM CDT 2026] starting LIPAH-preferred seq sat re-run, 10 trials per payload
  N=100000 F=200000 C=500 T=44 S=10 W=5
  p=0     t=1   149.94 Mops/s  293.5 ns/op
  p=0     t=2   140.68 Mops/s  312.8 ns/op
  p=0     t=3   54.94 Mops/s  800.9 ns/op
  p=0     t=4   81.38 Mops/s  540.7 ns/op
  p=0     t=5   155.38 Mops/s  283.2 ns/op
  p=0     t=6   148.07 Mops/s  297.2 ns/op
  p=0     t=7   148.96 Mops/s  295.4 ns/op
  p=0     t=8   67.25 Mops/s  654.3 ns/op
  p=0     t=9   137.13 Mops/s  320.9 ns/op
  p=0     t=10  45.88 Mops/s  959.1 ns/op
  p=256   t=1   73.67 Mops/s  597.3 ns/op
  p=256   t=2   24.43 Mops/s  1801.3 ns/op
  p=256   t=3   69.37 Mops/s  634.3 ns/op
  p=256   t=4   65.55 Mops/s  671.3 ns/op
  p=256   t=5   25.41 Mops/s  1731.5 ns/op
  p=256   t=6   31.95 Mops/s  1377.3 ns/op
  p=256   t=7   63.36 Mops/s  694.4 ns/op
  p=256   t=8   75.49 Mops/s  582.9 ns/op
  p=256   t=9   67.91 Mops/s  647.9 ns/op
  p=256   t=10  26.46 Mops/s  1663.2 ns/op
  p=1024  t=1   29.07 Mops/s  1513.8 ns/op
  p=1024  t=2   21.27 Mops/s  2069.1 ns/op
  p=1024  t=3   29.77 Mops/s  1478.0 ns/op
  p=1024  t=4   28.85 Mops/s  1525.1 ns/op
  p=1024  t=5   26.23 Mops/s  1677.3 ns/op
  p=1024  t=6   41.70 Mops/s  1055.2 ns/op
  p=1024  t=7   41.94 Mops/s  1049.0 ns/op
  p=1024  t=8   34.65 Mops/s  1269.8 ns/op
  p=1024  t=9   37.85 Mops/s  1162.4 ns/op
  p=1024  t=10  40.97 Mops/s  1073.8 ns/op
  p=4096  t=1   9.59 Mops/s  4590.5 ns/op
  p=4096  t=2   19.34 Mops/s  2274.8 ns/op
  p=4096  t=3   19.34 Mops/s  2274.6 ns/op
  p=4096  t=4   19.30 Mops/s  2279.7 ns/op
  p=4096  t=5   19.49 Mops/s  2257.5 ns/op
  p=4096  t=6   19.70 Mops/s  2233.8 ns/op
  p=4096  t=7   16.07 Mops/s  2737.7 ns/op
  p=4096  t=8   16.35 Mops/s  2691.1 ns/op
  p=4096  t=9   19.32 Mops/s  2277.9 ns/op
  p=4096  t=10  19.58 Mops/s  2247.4 ns/op
  p=16384 t=1   5.40 Mops/s  8148.3 ns/op
  p=16384 t=2   5.24 Mops/s  8395.1 ns/op
  p=16384 t=3   5.39 Mops/s  8167.9 ns/op
  p=16384 t=4   5.42 Mops/s  8124.5 ns/op
  p=16384 t=5   5.39 Mops/s  8161.2 ns/op
  p=16384 t=6   5.25 Mops/s  8382.6 ns/op
  p=16384 t=7   5.20 Mops/s  8453.5 ns/op
  p=16384 t=8   5.35 Mops/s  8224.7 ns/op
  p=16384 t=9   5.22 Mops/s  8436.9 ns/op
  p=16384 t=10  5.32 Mops/s  8266.4 ns/op
[Thu May  7 12:17:27 PM CDT 2026] done. csv: /mnt/nvme1/rotaki/LIPAH/lapt_paper/results/lipah_seq_sat_20260507_115647/seq_payload_sat_lipah.csv
