Buffer Pool Size,Thread Count,Insert Time without PS,Insert Time with PS,Get Time without PS,Get Time with PS
1000,1,4295.9694166,4213.269658200001,1885.0528749999999,1895.870775
1000,2,5112.7191668,5263.38045,2163.0463498,2050.1686834
1000,3,5396.3725084,5669.515075,2352.6219666,2410.5598332
1000,4,5700.3723248,5924.1813918,2635.5975746,2622.6246084
1000,5,5450.5976832,5516.7745836,2587.4550336,2380.3300499999996
2000,1,2918.1293668,2980.2199081999997,1517.921333,1437.770125
2000,2,3309.6643412,3522.0196916,1509.4721666,1447.749
2000,3,3511.8187749999997,3816.434975,1650.9075416,1623.30105
2000,4,3797.5514252000003,3988.2049835999997,1811.0287164000001,1792.5826834
2000,5,3738.6285918000003,3688.1730417999997,1798.8082586,1597.4798418
5000,1,270.37071249999997,244.82944160000002,394.1087584,372.0720792
5000,2,205.9291792,192.5302792,238.8229334,213.3382833
5000,3,187.48871690000001,164.7745792,196.8820375,166.09515
5000,4,185.8066252,154.881575,183.3899669,155.1703624
5000,5,186.1497665,155.2126667,173.25259169999998,147.5023043
10000,1,278.39790430000005,252.0308792,386.2014207,362.4812919
10000,2,199.6404084,189.0249043,230.63939169999998,213.02997489999998
10000,3,188.8662957,180.9217333,197.02498740000001,173.4574833
10000,4,195.8988335,155.1651416,187.8544126,160.2164044
10000,5,190.0492541,155.0094585,170.2753042,139.5354417
